depth_mm,f_mhz,P_mpa,DC,eta,t_first_hr,n_sessions,spacing_hr,mean_gm2_day365,std_gm2_day365,reduction_pct
28.3121,0.8122,0.2410,0.01826,0.49283,4.876,3,58.513,58.1245,105.3697,55.6248
40.1776,0.7515,0.4962,0.01820,0.69328,75.425,2,64.187,44.1284,21.9099,66.3101
56.3865,0.4406,0.1933,0.02024,0.43955,39.101,4,46.803,42.3405,26.8752,67.6751
39.5509,0.4457,0.2492,0.01387,0.41161,34.106,4,17.494,54.7582,31.1086,58.1947
28.3705,0.6580,0.4404,0.02155,0.80341,28.596,5,56.564,63.5919,39.9797,51.4506
53.9103,0.6353,0.2250,0.01758,0.39877,76.195,1,21.844,39.9599,21.6719,69.4926
28.8387,0.7889,0.2294,0.01890,0.48985,37.473,3,51.199,45.6303,33.4681,65.1635
44.1082,0.8677,0.2326,0.00834,0.18462,62.893,1,73.608,38.5608,26.8397,70.5607
53.6942,0.8806,0.2531,0.01952,0.42298,47.347,2,39.056,42.4757,20.6535,67.5718
32.4175,0.8071,0.2510,0.00719,0.19436,9.213,4,90.937,38.6820,16.5899,70.4682
54.4096,0.8897,0.2971,0.01486,0.36599,67.857,2,76.102,34.9913,14.8654,73.2858
33.5269,0.9150,0.3863,0.00542,0.18792,48.508,2,86.122,53.5375,30.8239,59.1267
46.6165,0.6299,0.2083,0.01198,0.26671,22.209,4,58.951,33.3473,12.3210,74.5409
35.9848,0.5458,0.3711,0.02045,0.75303,23.589,3,63.491,50.8843,31.4406,61.1523
59.9445,0.9445,0.2662,0.00456,0.09313,20.973,3,15.368,40.2868,21.1416,69.2430
35.1684,0.6773,0.4614,0.02486,0.78415,42.905,2,9.092,52.9495,43.1768,59.5756
25.1481,0.5507,0.1688,0.01770,0.38225,94.842,3,95.808,36.7102,14.7237,71.9735
51.1167,1.0354,0.3180,0.01118,0.27544,78.869,1,28.634,35.0453,10.8131,73.2446
42.2501,0.6769,0.1501,0.00888,0.14682,87.719,2,93.584,31.3924,12.8750,76.0334
24.2596,0.6514,0.2764,0.00320,0.10439,34.140,2,7.261,52.9357,41.3052,59.5862
25.1206,0.8176,0.1944,0.01885,0.42930,20.760,1,77.339,56.3954,37.2684,56.9449
41.6144,0.4300,0.1743,0.00619,0.13257,14.227,2,95.504,43.5817,24.2171,66.7275
27.2002,0.9589,0.4437,0.00667,0.25298,76.987,1,28.412,25.1570,9.3285,80.7938
47.2660,0.5621,0.2954,0.02092,0.61947,27.240,5,45.306,30.1668,13.1317,76.9691
41.6810,0.6150,0.3940,0.00537,0.19751,8.064,4,75.412,31.4114,13.2600,76.0189
29.4472,0.8970,0.3469,0.01330,0.45287,15.315,4,63.572,36.7662,21.7614,71.9308
58.1103,0.5989,0.4877,0.02084,0.73905,2.737,2,11.851,30.4988,31.1988,76.7156
40.6510,0.8341,0.2095,0.01514,0.31954,55.154,1,21.663,29.9020,14.6214,77.1712
56.5734,0.5732,0.4951,0.00477,0.17977,84.130,2,81.679,61.9703,34.2784,52.6887
41.9813,0.7872,0.4856,0.02320,0.74251,63.363,4,65.297,43.5019,12.4904,66.7884
48.6221,0.7520,0.1853,0.02023,0.36686,53.309,3,76.840,57.6825,24.9769,55.9622
49.1778,0.4156,0.2029,0.01000,0.24091,92.775,4,94.924,37.7943,19.0059,71.1459
58.7911,0.7299,0.3062,0.01228,0.33064,70.199,5,47.080,40.1865,14.3635,69.3195
54.7706,0.6388,0.2916,0.01919,0.54057,28.268,3,90.172,30.6426,15.4954,76.6059
23.3957,0.6403,0.2513,0.01966,0.59988,95.679,5,69.108,33.8612,19.2519,74.1486
22.0185,0.4928,0.3462,0.00610,0.23854,2.710,3,89.264,33.4952,22.6783,74.4280
46.2982,0.5446,0.2715,0.02159,0.58891,23.554,2,71.825,42.5116,21.8726,67.5445
24.4434,0.9405,0.2089,0.02490,0.47281,50.289,3,63.353,33.6430,16.7652,74.3152
50.9428,0.6470,0.4449,0.01720,0.62585,50.617,3,7.206,57.5399,58.4276,56.0711
27.1311,0.4663,0.4559,0.01892,0.80072,85.701,2,73.946,39.4720,21.9328,69.8651
26.9318,0.9102,0.2124,0.01431,0.33816,81.691,2,90.287,45.4149,23.6699,65.3279
35.5609,0.4467,0.2422,0.01624,0.47884,78.823,2,38.572,38.2098,16.7399,70.8287
35.0312,0.4305,0.4657,0.01617,0.67708,78.642,3,47.383,54.7096,45.2758,58.2319
48.9242,0.4372,0.3733,0.01176,0.43963,32.655,2,84.417,31.0994,16.4042,76.2572
39.4270,0.5579,0.2220,0.00687,0.17572,11.902,4,11.020,29.6564,10.6806,77.3588
52.7095,0.5946,0.3015,0.02431,0.60011,80.214,2,25.748,36.3664,15.7399,72.2360
28.1534,0.5414,0.1921,0.02328,0.48062,80.317,4,30.625,39.8901,26.1023,69.5458
49.5458,1.0851,0.4538,0.01432,0.43808,24.199,5,32.219,30.7553,12.5738,76.5198
57.9890,0.5120,0.3911,0.01785,0.63689,17.286,1,42.344,37.8952,18.9320,71.0689
43.6254,0.4431,0.2422,0.02229,0.57016,53.320,2,21.045,41.3792,23.7390,68.4090
23.1805,0.8631,0.4938,0.01588,0.64610,31.752,4,38.906,35.4270,17.7873,72.9532
29.5710,0.9602,0.4266,0.00989,0.36383,47.744,4,7.136,48.8886,33.5889,62.6760
58.6874,1.0054,0.4677,0.01458,0.43424,89.988,5,24.504,51.6892,32.4220,60.5378
24.5913,0.5425,0.3177,0.01632,0.59756,40.654,4,17.975,53.0864,47.5416,59.4711
41.0530,0.6935,0.3628,0.01683,0.58042,81.336,4,92.207,34.7793,15.6505,73.4477
52.8823,0.4979,0.4221,0.01715,0.64704,60.911,1,84.321,34.0458,13.7885,74.0077
55.9243,0.5365,0.3591,0.02141,0.68152,44.803,2,49.661,34.2150,7.2996,73.8785
59.1481,0.9216,0.1902,0.01655,0.25328,27.486,1,38.154,42.6122,16.0852,67.4676
49.8107,0.8009,0.4846,0.01376,0.48612,76.697,5,52.667,41.0746,21.3609,68.6415
46.6115,0.8268,0.4868,0.00654,0.23332,64.702,1,42.409,55.8814,34.4650,57.3373
24.7519,0.4669,0.4971,0.01992,0.86140,21.693,2,14.157,40.2149,19.5365,69.2979
53.5251,0.6597,0.4388,0.01674,0.59530,49.862,3,90.434,39.0518,15.5279,70.1859
47.1327,0.7079,0.4172,0.01653,0.58436,87.086,5,35.706,25.3757,8.1551,80.6269
26.3603,0.8190,0.1663,0.01001,0.19478,11.412,4,46.458,31.9702,13.5591,75.5923
28.5450,0.8927,0.2024,0.00412,0.09213,4.228,4,18.222,37.8216,21.3704,71.1251
28.0746,0.8502,0.3070,0.00417,0.13470,5.186,4,17.928,44.5991,27.5289,65.9507
44.7007,0.8518,0.3664,0.01406,0.44580,2.638,4,94.880,21.2259,7.7542,83.7951
53.5950,1.0556,0.4981,0.00736,0.22877,39.700,4,37.134,31.1397,9.4125,76.2263
57.5366,0.6503,0.1842,0.01759,0.31973,66.413,3,87.040,42.1710,19.0117,67.8045
50.0674,0.5565,0.3704,0.02307,0.70433,69.824,5,89.639,33.9924,17.6297,74.0485
